 id_item | id_material_extra |                                               descripcion                                               |                  categoria                  |             presentacion              |       unidad       | permite_decimales | cantidad_disponible |          marca           | estado_calidad |  ubicacion  | precioxunidad |                          uso_principal                          |      ultima_modificacion      | stock_minimo
      41 | MCO-RON-001C      | Rondanas de acero chicas S/M                                                                            | Ojillos de Metal                            | Pza individual                        | Pza                | t                 |                   1 | S/M                      | Bueno          |             |               | Distribuci≤n de presi≤n en sistemas de fijaci≤n estructural     | 2025-06-18 15:23:05.241333-06 |         0.00
     219 | MCO-TAP-EP01      | Tapete de hule negro entrada principal Greenhome                                                        | Tapetes                                     | 80 x 60 cms                           | Pza                | t                 |                   1 | Greenhome                | Bueno          |             |               | Protecci≤n de entrada principal                                 | 2025-06-18 15:23:05.241333-06 |         0.00
     220 | MCO-TAP-AC01      | Tapete con secador anti-Covid High Quality                                                              | Tapetes                                     | 39 x 29 x 3 cms                       | Pza                | t                 |                   1 | High Quality             | Bueno          |             |               | Entrada sanitaria con funci≤n secadora                          | 2025-06-18 15:23:05.241333-06 |         0.00
     218 | MCO-TAP-PU02      | Tapete de hule chico para puerta oficina de Admon Greenhome                                             | Tapetes                                     | 23 x 15 cms                           | Pza                | t                 |                   0 | Greenhome                | Bueno          |             |               | Entrada oficina administrativa                                  | 2025-07-09 10:30:37.691867-06 |         0.00
     211 | HAT-TAB-3223SM    | Tabla con clip metßlico tama±o carta S/M                                                                | Tablas                                      | 32 x 23 cms                           | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Soporte de formatos en campo o inventarios                      | 2025-06-28 08:35:22.637873-06 |         0.00
     166 | HAE-ESP-N425SY    | Esmalte negro en aerosol 425 ml Sayer (uso 50%)                                                         | Esmalte en aerosol                          | 425 ml                                | Pza                | t                 |                   0 | Sayer                    | Bueno          |             |               | Pintura y acabado sobre superficies                             | 2025-06-30 20:14:50.562867-06 |         0.00
     235 | MCO-ACE-MAQ01     | Aceitera azul para mßquina de coser S/M (250 ml aprox)                                                  | Aceites                                     | 250 ml aprox                          | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Aplicaci≤n manual de aceite a maquinaria                        | 2025-06-30 20:50:46.678612-06 |         0.00
      74 | MCO-TAQ-ARP060S   | Taquete de metal expansivo tipo arp≤n 6.0 x 0.5 cm sin tuerca ni armella Clevis                         | Taquetes                                    | 6.0 x 0.5 cms                         | Pza                | t                 |                   0 | Clevis                   | Bueno          |             |               | Fijaci≤n sencilla en superficies livianas                       | 2025-06-30 21:00:59.032875-06 |         0.00
     191 | HAP-PEG-EPO01     | Pegamento ep≤xico reforzado con acero Top (2 ampolletas, 25 ml c/u)                                     | Pegamento                                   | 2 ampolletas (25 ml c/u)              | Pza                | t                 |                   0 | Top                      | Bueno          |             |               | Sellado de goteras y reparaci≤n estructural leve                | 2025-06-18 15:23:05.241333-06 |         0.00
      36 | MCO-ETQ-GSC       | Etiqueta de lona grande 25 x 15 cm sin ojillo                                                           | Etiquetas                                   | 25 x 15 cms                           | Pza                | t                 |                   0 | S/M                      | Bueno          |             |               | Identificaci≤n visible en estructuras o lonas                   | 2025-06-18 15:23:05.241333-06 |         0.00
     123 | MCO-ARM-014S1     | Armella acero 1/4" s/tuerca 7 cm Clevis                                                                 | Armaderas                                   | Pieza ·nica                           | Pza                | t                 |                   0 | Clevis                   | Bueno          |             |               | Fijaci≤n bßsica                                                 | 2025-06-18 15:23:05.241333-06 |         0.00
     117 | MCO-ABZ-035C      | Abrazadera de cobre p/apretar polo de baterφa elΘctrica S/M                                             | Abrazaderas                                 | 3.5 x 4 cms                           | Pza                | f                 |                   4 | S/M                      | Bueno          | Instalaci≤n |             2 | Conexi≤n en sistemas elΘctricos auto                            | 2025-07-16 21:21:13.205122-06 |         2.00
(273 rows)
